vehicle_id,model,battery_capacity_kwh,depot,commissioned_date
FP-0001,AEV-Blanc-100,48,MEL-DEPOT-01,2026-03-04
FP-0002,AEV-Blanc-100,48,MEL-DEPOT-01,2025-06-24
FP-0003,AEV-Blanc-100,48,MEL-DEPOT-01,2024-04-30
FP-0004,AEV-Blanc-100,48,MEL-DEPOT-01,2024-02-22
FP-0005,AEV-Utility-X,60,MEL-DEPOT-01,2025-11-16
FP-0006,AEV-Blanc-100,48,MEL-DEPOT-01,2024-12-25
FP-0007,AEV-Blanc-300,75,MEL-DEPOT-01,2025-03-30
FP-0008,AEV-Blanc-100,48,MEL-DEPOT-01,2024-05-25
FP-0009,AEV-Blanc-100,48,MEL-DEPOT-01,2024-04-27
FP-0010,AEV-Blanc-100,48,MEL-DEPOT-01,2024-01-22
FP-0011,AEV-Blanc-300,75,MEL-DEPOT-01,2026-01-04
FP-0012,AEV-Blanc-100,48,MEL-DEPOT-01,2025-01-03
FP-0013,AEV-Blanc-100,48,MEL-DEPOT-01,2024-08-07
FP-0014,AEV-Blanc-100,48,MEL-DEPOT-01,2024-11-18
FP-0015,AEV-Blanc-300,75,MEL-DEPOT-01,2024-07-28
FP-0016,AEV-Utility-X,60,MEL-DEPOT-01,2026-03-24
FP-0017,AEV-Utility-X,60,MEL-DEPOT-01,2024-11-02
FP-0018,AEV-Blanc-100,48,MEL-DEPOT-01,2025-01-25
FP-0019,AEV-Blanc-300,75,MEL-DEPOT-01,2024-08-30
FP-0020,AEV-Utility-X,60,MEL-DEPOT-01,2025-03-27
FP-0021,AEV-Blanc-300,75,MEL-DEPOT-01,2024-07-12
FP-0022,AEV-Utility-X,60,MEL-DEPOT-01,2024-09-29
FP-0023,AEV-Blanc-300,75,MEL-DEPOT-01,2024-02-29
FP-0024,AEV-Blanc-300,75,MEL-DEPOT-01,2025-01-23
FP-0025,AEV-Blanc-300,75,MEL-DEPOT-01,2025-03-05
FP-0026,AEV-Blanc-100,48,MEL-DEPOT-01,2025-10-14
FP-0027,AEV-Blanc-100,48,MEL-DEPOT-01,2026-02-12
FP-0028,AEV-Blanc-100,48,MEL-DEPOT-01,2025-12-24
FP-0029,AEV-Blanc-100,48,MEL-DEPOT-01,2023-12-25
FP-0030,AEV-Blanc-100,48,MEL-DEPOT-01,2025-12-06
FP-0031,AEV-Blanc-100,48,MEL-DEPOT-01,2025-03-24
FP-0032,AEV-Blanc-300,75,MEL-DEPOT-01,2025-11-06
FP-0033,AEV-Blanc-100,48,MEL-DEPOT-01,2026-01-04
FP-0034,AEV-Blanc-300,75,MEL-DEPOT-01,2025-10-30
FP-0035,AEV-Blanc-100,48,MEL-DEPOT-01,2024-11-04
FP-0036,AEV-Blanc-100,48,MEL-DEPOT-01,2024-11-21
FP-0037,AEV-Blanc-300,75,MEL-DEPOT-01,2025-12-02
FP-0038,AEV-Utility-X,60,MEL-DEPOT-01,2024-02-12
FP-0039,AEV-Blanc-300,75,MEL-DEPOT-01,2025-03-12
FP-0040,AEV-Utility-X,60,MEL-DEPOT-01,2024-08-09
FP-0041,AEV-Blanc-300,75,MEL-DEPOT-01,2024-11-10
FP-0042,AEV-Blanc-100,48,MEL-DEPOT-01,2025-07-08
FP-0043,AEV-Blanc-100,48,MEL-DEPOT-01,2024-09-01
FP-0044,AEV-Blanc-300,75,MEL-DEPOT-01,2025-10-08
FP-0045,AEV-Blanc-100,48,MEL-DEPOT-01,2025-03-23
FP-0046,AEV-Blanc-100,48,MEL-DEPOT-01,2026-02-06
FP-0047,AEV-Blanc-100,48,MEL-DEPOT-01,2026-02-21
FP-0048,AEV-Blanc-300,75,MEL-DEPOT-01,2024-08-27
FP-0049,AEV-Blanc-100,48,MEL-DEPOT-01,2026-02-09
FP-0050,AEV-Blanc-100,48,MEL-DEPOT-01,2025-10-03
