vehicle_id,timestamp,speed_kmh,battery_pct,motor_temp_c,lat,lon,fault_code
FP-0001,2026-06-11T06:00:00.000Z,-79.2,81.98,24.3,-37.867411,144.96176,
FP-0002,2026-06-11T06:00:00.000Z,0.0,72.88,15.4,-37.882444,144.943567,
FP-0003,2026-06-11T06:00:00.000Z,0.0,73.3,24.6,-37.871512,144.925176,
FP-0004,2026-06-11T06:00:00.000Z,0.0,78.8,26.1,-37.870522,144.929063,
FP-0005,2026-06-11T06:00:00.000Z,0.0,91.78,19.7,-37.800937,144.952852,
FP-0006,2026-06-11T06:00:00.000Z,0.0,84.77,18.7,-37.768647,144.899362,
FP-0007,2026-06-11T06:00:00.000Z,0.0,89.99,27.4,-37.758818,144.899148,
FP-0008,2026-06-11T06:00:00.000Z,0.0,99.8,27.2,-37.795212,144.953835,
FP-0009,2026-06-11T06:00:00.000Z,0.0,85.43,25.6,-37.868661,144.969996,
FP-0010,2026-06-11T06:00:00.000Z,0.0,95.96,27.2,-37.749125,144.895868,
FP-0011,2026-06-11T06:00:00.000Z,0.0,92.25,25.7,-37.862719,144.919102,
FP-0012,2026-06-11T06:00:00.000Z,0.0,98.32,32.7,-37.786538,144.974784,
FP-0013,2026-06-11T06:00:00.000Z,0.0,85.92,21.7,-37.816601,144.901832,
FP-0014,2026-06-11T06:00:00.000Z,0.0,86.28,20.5,-37.768878,144.911378,
FP-0015,2026-06-11T06:00:00.000Z,0.0,77.74,24.1,-37.80807,144.973361,
FP-0015,2026-06-11T06:00:00.000Z,0.0,77.74,24.1,-37.80807,144.973361,
FP-0016,2026-06-11T06:00:00.000Z,0.0,98.69,23.4,-37.8768,145.005183,
FP-0017,2026-06-11T06:00:00.000Z,0.0,91.92,14.6,-37.749278,144.905952,
FP-0017,2026-06-11T06:00:00.000Z,0.0,91.92,14.6,-37.749278,144.905952,
FP-0018,2026-06-11T06:00:00.000Z,0.0,70.11,21.0,-37.764802,144.971994,
FP-0019,2026-06-11T06:00:00.000Z,-9999,99.34,32.4,-37.829835,144.998516,
FP-0020,2026-06-11T06:00:00.000Z,0.0,90.2,31.0,-37.867827,144.910013,
FP-0021,2026-06-11T06:00:00.000Z,0.0,77.27,30.3,-37.851171,144.980237,
FP-0022,2026-06-11T06:00:00.000Z,0.0,96.34,24.2,-37.776979,144.903949,
FP-0023,2026-06-11T06:00:00.000Z,0.0,98.87,24.7,-37.817791,145.000564,
FP-0024,2026-06-11T06:00:00.000Z,0.0,96.34,21.4,-37.831053,144.893009,
FP-0025,2026-06-11T06:00:00.000Z,0.0,98.37,28.1,-37.767514,145.051779,
FP-0026,2026-06-11T06:00:00.000Z,0.0,81.0,22.7,-37.863741,144.990917,
FP-0027,2026-06-11T06:00:00.000Z,0.0,80.3,26.4,-37.846212,145.044603,
FP-0028,2026-06-11T06:00:00.000Z,0.0,85.12,20.6,-37.803772,144.981956,
FP-0029,2026-06-11T06:00:00.000Z,0.0,88.53,15.5,-37.860474,145.052346,
FP-0030,2026-06-11T06:00:00.000Z,0.0,75.89,24.9,-37.815079,145.014458,
FP-0031,2026-06-11T06:00:00.000Z,0.0,89.6,23.5,-37.822445,145.006104,
FP-0032,2026-06-11T06:00:00.000Z,,90.3,16.9,,144.911773,
FP-0033,2026-06-11T06:00:00.000Z,0.0,86.15,21.0,-37.763772,145.000546,
FP-0034,2026-06-11T06:00:00.000Z,0.0,79.18,31.2,-37.86047,145.003951,
FP-0035,2026-06-11T06:00:00.000Z,0.0,99.84,16.5,-37.858525,144.92995,
FP-0036,2026-06-11T06:00:00.000Z,0.0,82.05,31.8,-37.753243,144.904252,
FP-0037,2026-06-11T06:00:00.000Z,0.0,76.32,18.8,-37.761894,145.02371,
FP-0038,2026-06-11T06:00:00.000Z,0.0,93.61,32.5,-37.809659,145.020648,
FP-0039,2026-06-11T06:00:00.000Z,0.0,92.87,27.9,-37.841117,145.038332,
FP-0040,2026-06-11T06:00:00.000Z,0.0,77.46,27.2,-37.817997,144.916073,
FP-0041,2026-06-11T06:00:00.000Z,0.0,91.16,22.5,-37.792348,144.979709,
FP-0042,2026-06-11T06:00:00.000Z,0.0,71.67,25.6,-37.75531,144.967473,
FP-0043,2026-06-11T06:00:00.000Z,0.0,95.79,23.8,-37.797345,144.977341,
FP-0044,2026-06-11T06:00:00.000Z,0.0,81.91,21.5,-37.811396,144.985023,
FP-0045,2026-06-11T06:00:00.000Z,0.0,95.62,21.9,-37.763822,145.011784,
FP-0046,2026-06-11T06:00:00.000Z,0.0,98.84,30.4,-37.785397,145.013907,
FP-0047,2026-06-11T06:00:00.000Z,0.0,97.26,21.8,-37.835916,145.002083,
FP-0048,2026-06-11T06:00:00.000Z,0.0,95.63,18.6,-37.867784,145.006125,
FP-0049,2026-06-11T06:00:00.000Z,,99.07,26.9,-37.860476,,
FP-0050,2026-06-11T06:00:00.000Z,0.0,77.22,30.7,-37.784213,144.888438,
FP-0001,2026-06-11T06:00:05.000Z,0.0,81.98,,,144.96176,
FP-0002,2026-06-11T06:00:05.000Z,0.0,72.88,15.4,-37.882444,144.943567,
FP-0003,2026-06-11T06:00:05.000Z,0.0,73.3,24.5,-37.871512,144.925176,
FP-0004,2026-06-11T06:00:05.000Z,0.0,78.8,26.0,-37.870522,144.929063,
FP-0005,2026-06-11T06:00:05.000Z,0.0,91.78,19.7,-37.800937,144.952852,
FP-0006,2026-06-11T06:00:05.000Z,0.0,84.77,18.6,-37.768647,144.899362,
FP-0007,2026-06-11T06:00:05.000Z,0.0,89.99,27.3,-37.758818,144.899148,
FP-0008,2026-06-11T06:00:05.000Z,0.0,99.8,27.1,-37.795212,144.953835,
FP-0009,2026-06-11T06:00:05.000Z,0.0,85.42,25.5,-37.868661,144.969996,
FP-0010,2026-06-11T06:00:05.000Z,0.0,95.96,27.1,-37.749125,144.895868,
FP-0011,2026-06-11T06:00:05.000Z,0.0,92.25,25.6,-37.862719,144.919102,
FP-0012,2026-06-11T06:00:05.000Z,0.0,130.46,32.6,-37.786538,144.974784,
FP-0013,2026-06-11T06:00:05.000Z,0.0,85.92,21.6,-37.816601,144.901832,
FP-0014,2026-06-11T06:00:05.000Z,0.0,86.28,,,144.911378,
FP-0015,2026-06-11T06:00:05.000Z,0.0,77.74,24.0,-37.80807,144.973361,
FP-0016,2026-06-11T06:00:05.000Z,0.0,98.69,23.3,-37.8768,145.005183,
FP-0017,2026-06-11T06:00:05.000Z,0.0,91.92,14.6,-37.749278,144.905952,
FP-0018,2026-06-11T06:00:05.000Z,0.0,70.11,21.0,-37.764802,144.971994,
FP-0019,2026-06-11T06:00:05.000Z,0.0,99.34,32.3,-37.829835,144.998516,
FP-0020,2026-06-11T06:00:05.000Z,0.0,90.2,30.9,-37.867827,144.910013,
FP-0021,2026-06-11T06:00:05.000Z,0.0,77.27,30.2,-37.851171,144.980237,
FP-0022,2026-06-11T06:00:05.000Z,0.0,96.34,24.1,-37.776979,144.903949,
FP-0023,2026-06-11T06:00:05.000Z,0.0,98.87,24.7,-37.817791,145.000564,
FP-0024,2026-06-11T06:00:05.000Z,0.0,96.34,21.3,-37.831053,144.893009,
FP-0025,2026-06-11T06:00:05.000Z,0.0,98.37,28.0,-37.767514,145.051779,
FP-0026,2026-06-11T06:00:05.000Z,0.0,81.0,22.6,-37.863741,144.990917,
FP-0027,2026-06-11T06:00:05.000Z,0.0,80.3,26.4,-37.846212,145.044603,
FP-0028,2026-06-11T06:00:05.000Z,0.0,85.12,20.6,-37.803772,144.981956,
FP-0029,2026-06-11T06:00:05.000Z,0.0,,,-37.860474,145.052346,
FP-0030,2026-06-11T06:00:05.000Z,0.0,75.89,24.8,-37.815079,145.014458,
FP-0031,2026-06-11T06:00:05.000Z,0.0,89.6,23.4,,,
FP-0032,2026-06-11T06:00:05.000Z,0.0,90.3,16.9,-37.825192,144.911773,
FP-0033,2026-06-11T06:00:05.000Z,0.0,86.15,20.9,-37.763772,145.000546,
FP-0034,2026-06-11T06:00:05.000Z,0.0,79.18,31.1,-37.86047,145.003951,
FP-0035,2026-06-11T06:00:05.000Z,0.0,99.84,16.4,-37.858525,144.92995,
FP-0036,2026-06-11T06:00:05.000Z,0.0,82.05,31.7,-37.753243,144.904252,
FP-0037,2026-06-11T06:00:05.000Z,0.0,76.32,18.7,-37.761894,,
FP-0038,2026-06-11T06:00:05.000Z,0.0,93.61,32.3,-37.809659,145.020648,
FP-0039,2026-06-11T06:00:05.000Z,0.0,92.87,27.9,-37.841117,145.038332,
FP-0040,2026-06-11T06:00:05.000Z,0.0,77.46,27.1,-37.817997,144.916073,
FP-0041,2026-06-11T06:00:05.000Z,0.0,91.16,22.4,-37.792348,144.979709,
FP-0042,2026-06-11T06:00:05.000Z,0.0,71.66,25.5,-37.75531,144.967473,
FP-0043,2026-06-11T06:00:05.000Z,0.0,95.79,23.7,-37.797345,144.977341,
FP-0044,2026-06-11T06:00:05.000Z,0.0,81.91,21.5,-37.811396,144.985023,
FP-0045,2026-06-11T06:00:05.000Z,0.0,95.62,21.9,-37.763822,145.011784,
FP-0046,2026-06-11T06:00:05.000Z,0.0,98.84,30.3,-37.785397,145.013907,
FP-0047,2026-06-11T06:00:05.000Z,0.0,97.26,21.7,-37.835916,145.002083,
FP-0048,2026-06-11T06:00:05.000Z,0.0,95.63,18.6,-37.867784,145.006125,
FP-0049,2026-06-11T06:00:05.000Z,0.0,99.07,26.8,-37.860476,144.99972,
FP-0050,2026-06-11T06:00:05.000Z,0.0,77.22,30.6,-37.784213,144.888438,
FP-0001,2026-06-11T06:00:10.000Z,NaN,81.98,24.2,-37.867411,144.96176,
FP-0002,2026-06-11T06:00:10.000Z,0.0,72.88,15.3,-37.882444,144.943567,
FP-0003,2026-06-11T06:00:10.000Z,0.0,73.3,24.5,-37.871512,144.925176,
FP-0004,2026-06-11T06:00:10.000Z,0.0,78.8,26.0,-37.870522,,
FP-0005,2026-06-11T06:00:10.000Z,0.0,91.78,19.6,-37.800937,144.952852,
FP-0006,2026-06-11T06:00:10.000Z,,84.77,18.5,-37.768647,144.899362,
FP-0007,2026-06-11T06:00:10.000Z,0.0,89.99,27.3,-37.758818,144.899148,
FP-0008,2026-06-11T06:00:10.000Z,0.0,99.8,27.1,-37.795212,144.953835,
FP-0009,2026-06-11T06:00:10.000Z,0.0,85.42,25.4,-37.868661,144.969996,
FP-0010,2026-06-11T06:00:10.000Z,0.0,95.96,27.0,-37.749125,144.895868,
FP-0011,2026-06-11T06:00:10.000Z,0.0,92.25,25.6,-37.862719,144.919102,
FP-0012,2026-06-11T06:00:10.000Z,0.0,98.32,32.5,-37.786538,144.974784,
FP-0013,2026-06-11T06:00:10.000Z,0.0,85.91,21.5,-37.816601,144.901832,
FP-0014,2026-06-11T06:00:10.000Z,0.0,86.28,20.3,-37.768878,144.911378,
